combo,agent,train_size,skill_mode,issue,repo,has_patch,has_agent_log,has_eval,outcome,report_tail
openhands_80,openhands,80,with,issue-1334,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-1334,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-1551,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-1551,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-3422,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-3422,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-1461,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-1461,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-2007,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-2007,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-231,strands-agents/harness-sdk,False,False,False,,
openhands_80,openhands,80,without,issue-231,strands-agents/harness-sdk,False,False,False,,
